"HS2","HS4","HS6","HS8","HS10"
,,"610590","22089057","1605620000"
,,"610600","22089069","1605630000"
,,"610610","22089071","1605690000"
,,"610620","22089074","1605901100"
,,"610690","22089075","1605901900"
,,"610700","22089077","1605903000"
,,"610711","22089078","1605909000"
,,"610712","22089091","1701000000"
,,"610719","22089099","1701111000"
,,"610721","22090011","1701111001"
,,"610722","22090019","1701111002"
,,"610729","22090091","1701111003"
,,"610791","22090099","1701111004"
,,"610792","23011000","1701111005"
,,"610799","23012000","1701111006"
,,"610800","23020000","1701111007"
,,"610811","23021010","1701111008"
,,"610819","23021090","1701111009"
,,"610821","23022010","1701111011"
,,"610822","23022090","1701111012"
,,"610829","23023010","1701111013"
,,"610831","23023090","1701111014"
,,"610832","23024002","1701111015"
,,"610839","23024008","1701111021"
,,"610891","23024010","1701111022"
,,"610892","23024090","1701111023"
,,"610899","23025000","1701111024"
,,"610900","23031011","1701111025"
,,"610910","23031019","1701111026"
,,"610990","23031090","1701111027"
,,"611000","23032010","1701111031"
,,"611010","23032011","1701111032"
,,"611011","23032018","1701111033"
,,"611012","23032090","1701111034"
,,"611019","23033000","1701111035"
,,"611020","23040000","1701119000"
,,"611030","23050000","1701119001"
,,"611090","23061000","1701119002"
,,"611100","23062000","1701119003"
,,"611110","23063000","1701119004"
,,"611120","23064000","1701119005"
,,"611130","23064100","1701119006"
,,"611190","23064900","1701119007"
,,"611200","23065000","1701119008"
,,"611211","23066000","1701119009"
,,"611212","23067000","1701119011"
,,"611219","23069005","1701119012"
,,"611220","23069011","1701119013"
,,"611231","23069019","1701119014"
,,"611239","23069090","1701119015"
,,"611241","23069093","1701119021"
,,"611249","23069099","1701119022"
,,"611300","23070011","1701119023"
,,"611400","23070019","1701119024"
,,"611410","23070090","1701119025"
,,"611420","23080011","1701119026"
,,"611430","23080019","1701119027"
,,"611490","23080040","1701119031"
,,"611500","23080090","1701119032"
,,"611510","23081000","1701119033"
,,"611511","23089011","1701119034"
,,"611512","23089019","1701119035"
,,"611519","23089030","1701121000"
,,"611520","23089090","1701121001"
,,"611521","23090000","1701121009"
,,"611522","23091011","1701129000"
,,"611529","23091013","1701129001"
,,"611530","23091015","1701129009"
,,"611591","23091019","1701131011"
,,"611592","23091031","1701131012"
,,"611593","23091033","1701131013"
,,"611594","23091039","1701131014"
,,"611595","23091051","1701131015"
,,"611596","23091053","1701131021"
,,"611599","23091059","1701131022"
,,"611600","23091070","1701131023"
,,"611610","23091090","1701131024"
,,"611691","23099010","1701131025"
,,"611692","23099020","1701131026"
,,"611693","23099031","1701131027"
,,"611699","23099033","1701131031"
,,"611700","23099035","1701131032"
,,"611710","23099039","1701131033"
,,"611720","23099041","1701131034"
,,"611780","23099043","1701131035"
,,"611790","23099049","1701139011"
,,"620100","23099051","1701139012"
,,"620111","23099053","1701139013"
,,"620112","23099059","1701139014"
,,"620113","23099070","1701139015"
,,"620119","23099091","1701139021"
,,"620120","23099093","1701139022"
,,"620130","23099095","1701139023"
,,"620140","23099096","1701139024"
,,"620190","23099097","1701139025"
,,"620191","23099098","1701139026"
,,"620192","23099099","1701139027"
,,"620193","24011010","1701139031"
,,"620199","24011020","1701139032"
,,"620200","24011030","1701139033"
,,"620211","24011035","1701139034"
,,"620212","24011041","1701139035"
,,"620213","24011049","1701141011"
,,"620219","24011050","1701141012"
,,"620220","24011060","1701141013"
,,"620230","24011070","1701141014"
,,"620240","24011080","1701141015"
,,"620290","24011085","1701141021"
,,"620291","24011090","1701141022"
,,"620292","24011095","1701141023"
,,"620293","24012010","1701141024"
,,"620299","24012020","1701141025"
,,"620300","24012030","1701141026"
,,"620311","24012035","1701141027"
,,"620312","24012041","1701141031"
,,"620319","24012049","1701141032"
,,"620321","24012050","1701141033"
,,"620322","24012060","1701141034"
,,"620323","24012070","1701141035"
,,"620329","24012080","1701149011"
,,"620331","24012085","1701149012"
,,"620332","24012090","1701149013"
,,"620333","24012095","1701149014"
,,"620339","24013000","1701149015"
,,"620341","24021000","1701149021"
,,"620342","24022010","1701149022"
,,"620343","24022090","1701149023"
,,"620349","24029000","1701149024"
,,"620400","24031010","1701149025"
,,"620411","24031090","1701149026"
,,"620412","24031100","1701149027"
,,"620413","24031910","1701149031"
,,"620419","24031990","1701149032"
,,"620421","24039100","1701149033"
,,"620422","24039910","1701149034"
,,"620423","24039990","1701149035"
,,"620429","24041100","1701910000"
,,"620431","24041200","1701910001"
,,"620432","24041900","1701910002"
,,"620433","24049100","1701910003"
,,"620439","24049200","1701910004"
,,"620441","24049900","1701910005"
,,"620442","25010000","1701910006"
,,"620443","25010010","1701910007"
,,"620444","25010031","1701910008"
,,"620449","25010051","1701910009"
,,"620451","25010091","1701910011"
,,"620452","25010099","1701910012"
,,"620453","25020000","1701910013"
,,"620459","25030010","1701910014"
,,"620461","25030090","1701910015"
,,"620462","25041000","1701910021"
,,"620463","25049000","1701910022"
,,"620469","25051000","1701910023"
,,"620500","25059000","1701910024"
,,"620510","25061000","1701910025"
,,"620520","25062000","1701910026"
,,"620530","25062100","1701910027"
,,"620590","25062900","1701910031"
,,"620600","25070020","1701910032"
,,"620610","25070080","1701910033"
,,"620620","25081000","1701910034"
,,"620630","25082000","1701910035"
,,"620640","25083000","1701991000"
,,"620690","25084000","1701991001"
,,"620700","25085000","1701991009"
,,"620711","25086000","1701999000"
,,"620719","25087000","1701999001"
,,"620721","25087010","1701999009"
,,"620722","25087090","1702000000"
,,"620729","25090000","1702110000"
,,"620791","25101000","1702190000"
,,"620792","25102000","1702201000"
,,"620799","25111000","1702209000"
,,"620800","25112000","1702301000"
,,"620811","25120000","1702305000"
,,"620819","25131000","1702305100"
,,"620821","25131100","1702305900"
,,"620822","25131900","1702309001"
,,"620829","25132000","1702309009"
,,"620891","25140000","1702309100"
,,"620892","25151100","1702309900"
,,"620899","25151200","1702309901"
,,"620900","25151220","1702309909"
,,"620910","25151250","1702401000"
,,"620920","25151290","1702409000"
,,"620930","25152000","1702500000"
,,"620990","25161100","1702601000"
,,"621000","25161200","1702608000"
,,"621010","25161210","1702609000"
,,"621020","25161290","1702609500"
,,"621030","25162000","1702900000"
,,"621040","25162100","1702901000"
,,"621050","25162200","1702903000"
,,"621100","25162210","1702905000"
,,"621111","25162290","1702906000"
,,"621112","25169000","1702907100"
,,"621120","25169010","1702907500"
,,"621131","25169090","1702907900"
,,"621132","25171010","1702908000"
,,"621133","25171020","1702909500"
,,"621139","25171080","1702909900"
,,"621141","25172000","1703100000"
,,"621142","25173000","1703900000"
,,"621143","25174100","1704000000"
,,"621149","25174900","1704101000"
,,"621200","25181000","1704101100"
,,"621210","25182000","1704101900"
,,"621220","25183000","1704109000"
,,"621230","25191000","1704109001"
,,"621290","25199010","1704109009"
,,"621300","25199030","1704109100"
,,"621310","25199090","1704109900"
,,"621320","25201000","1704900000"
,,"621390","25202000","1704901000"
,,"621400","25202010","1704903000"
,,"621410","25202090","1704905100"
,,"621420","25210000","1704905500"
,,"621430","25221000","1704906100"
,,"621440","25222000","1704906200"
,,"621490","25223000","1704906500"
,,"621500","25230000","1704907100"
,,"621510","25231000","1704907500"
,,"621520","25232100","1704908100"
,,"621590","25232900","1704908200"
,,"621600","25233000","1704909800"
,,"621700","25239000","1704909900"
,,"621710","25239010","1801000000"
,,"621790","25239030","1802000000"
,,"630100","25239080","1803100000"
,,"630110","25239090","1803200000"
,,"630120","25240030","1804000000"
,,"630130","25240080","1805000000"
,,"630140","25241000","1806000000"
,,"630190","25249000","1806101500"
,,"630200","25251000","1806102000"
,,"630210","25252000","1806103000"
,,"630221","25253000","1806109000"
,,"630222","25261000","1806201000"
,,"630229","25262000","1806203000"
,,"630231","25270000","1806205000"
,,"630232","25280000","1806207000"
,,"630239","25281000","1806208000"
,,"630240","25289000","1806209500"
,,"630251","25291000","1806310000"
,,"630252","25292100","1806321000"
,,"630253","25292200","1806329000"
,,"630259","25293000","1806900000"
,,"630260","25301000","1806901100"
,,"630291","25301010","1806901900"
,,"630292","25301090","1806903100"
,,"630293","25302000","1806903900"
,,"630299","25304000","1806905000"
,,"630300","25309000","1806905001"
,,"630311","25309020","1806905002"
,,"630312","25309095","1806905009"
,,"630319","25309098","1806906000"
,,"630391","26011100","1806907000"
,,"630392","26011200","1806909000"
,,"630399","26012000","1901000000"
,,"630400","26020000","1901100000"
,,"630411","26030000","1901200000"
,,"630419","26040000","1901901100"
,,"630420","26050000","1901901900"
,,"630491","26060000","1901909100"
,,"630492","26070000","1901909200"
,,"630493","26080000","1901909800"
,,"630499","26090000","1901909900"
,,"630500","26100000","1902000000"
,,"630510","26110000","1902110000"
,,"630520","26121010","1902191000"
,,"630531","26121090","1902199000"
,,"630532","26122010","1902201000"
,,"630533","26122090","1902203000"
,,"630539","26131000","1902209100"
,,"630590","26139000","1902209900"
,,"630600","26140000","1902301000"
,,"630611","26140010","1902309000"
,,"630612","26140090","1902401000"
,,"630619","26151000","1902409000"
,,"630621","26159000","1903000000"
,,"630622","26159010","1904000000"
,,"630629","26159090","1904101000"
,,"630630","26161000","1904103000"
,,"630631","26169000","1904109000"
,,"630639","26171000","1904201000"
,,"630640","26179000","1904209100"
,,"630641","26180000","1904209500"
,,"630649","26190010","1904209900"
,,"630690","26190020","1904300000"
,,"630691","26190040","1904901000"
,,"630699","26190080","1904908000"
,,"630700","26190090","1904909000"
,,"630710","26190091","1905000000"
,,"630720","26190093","1905100000"
,,"630790","26190095","1905201000"
,,"630800","26190099","1905203000"
,,"630900","26201100","1905209000"
,,"631010","26201900","1905301100"
,,"631090","26202000","1905301900"
,,"640100","26202100","1905303000"
,,"640110","26202900","1905305100"
,,"640191","26203000","1905305900"
,,"640192","26204000","1905309100"
,,"640199","26205000","1905309900"
,,"640200","26206000","1905311100"
,,"640212","26209010","1905311900"
,,"640219","26209020","1905313000"
,,"640220","26209030","1905319100"
,,"640230","26209040","1905319900"
,,"640291","26209050","1905320000"
,,"640299","26209060","1905320500"
,,"640300","26209070","1905321100"
,,"640312","26209080","1905321900"
,,"640319","26209091","1905329100"
,,"640320","26209099","1905329900"
,,"640330","26209100","1905401000"
,,"640340","26209910","1905409000"
,,"640351","26209920","1905901000"
,,"640359","26209930","1905902000"
,,"640391","26209940","1905903000"
,,"640399","26209950","1905904000"
,,"640400","26209960","1905904500"
,,"640411","26209970","1905905500"
,,"640419","26209980","1905906000"
,,"640420","26209990","1905909000"
,,"640500","26209995","2001000000"
,,"640510","26210000","2001100000"
,,"640520","26211000","2001200000"
,,"640590","26219000","2001901000"
,,"640600","27011110","2001902000"
,,"640610","27011190","2001903000"
,,"640620","27011210","2001904000"
,,"640690","27011290","2001905000"
,,"640691","27011900","2001906000"
,,"640699","27012000","2001906500"
,,"650100","27021000","2001907000"
,,"650200","27022000","2001907500"
,,"650300","27030000","2001908500"
,,"650400","27040011","2001909100"
,,"650500","27040019","2001909200"
,,"650510","27040030","2001909300"
,,"650590","27040090","2001909600"
,,"650600","27050000","2001909700"
,,"650610","27060000","2001909701"
,,"650691","27071010","2001909702"
,,"650692","27071090","2001909709"
,,"650699","27072010","2001909900"
,,"650700","27072090","2002000000"
,,"660110","27073010","2002101000"
,,"660191","27073090","2002109000"
,,"660199","27074000","2002901100"
,,"660200","27075010","2002901900"
,,"660310","27075090","2002903100"
,,"660320","27075091","2002903900"
,,"660390","27075099","2002909100"
,,"670100","27076000","2002909900"
,,"670210","27079100","2003000000"
,,"670290","27079911","2003102000"
,,"670300","27079919","2003103000"
,,"670411","27079930","2003108000"
,,"670419","27079950","2003200000"
,,"670420","27079970","2003900000"
,,"670490","27079980","2003901000"
,,"680100","27079991","2003909000"
,,"680200","27079999","2004000000"
,,"680210","27081000","2004100000"
,,"680221","27082000","2004101000"
,,"680222","27090010","2004109100"
,,"680223","27090090","2004109900"
,,"680229","27100011","2004901000"
,,"680291","27100015","2004903000"
,,"680292","27100021","2004905000"
,,"680293","27100025","2004909100"
,,"680299","27100026","2004909800"
,,"680300","27100027","2005000000"
,,"680410","27100029","2005100010"
,,"680421","27100032","2005100090"
,,"680422","27100034","2005201000"
,,"680423","27100036","2005202000"
,,"680430","27100037","2005208000"
,,"680510","27100039","2005400000"
,,"680520","27100041","2005510000"
,,"680530","27100045","2005590000"
,,"680610","27100051","2005600000"
,,"680620","27100055","2005700000"
,,"680690","27100059","2005701000"
,,"680710","27100061","2005709000"
,,"680790","27100065","2005800000"
,,"680800","27100069","2005900000"
,,"680911","27100071","2005901000"
,,"680919","27100072","2005903000"
,,"680990","27100074","2005905000"
,,"681000","27100076","2005906000"
,,"681011","27100077","2005907000"
,,"681019","27100078","2005907500"
,,"681091","27100081","2005908000"
,,"681099","27100083","2005910000"
,,"681110","27100087","2005991000"
,,"681120","27100088","2005992000"
,,"681130","27100089","2005993000"
,,"681140","27100092","2005994000"
,,"681181","27100094","2005995000"
,,"681182","27100096","2005996000"
,,"681183","27100098","2005997000"
,,"681189","27101111","2005997500"
,,"681190","27101115","2005998000"
,,"681200","27101121","2005999000"
,,"681210","27101125","2006000000"
,,"681220","27101131","2006001000"
,,"681230","27101141","2006003100"
,,"681240","27101145","2006003500"
,,"681250","27101149","2006003800"
,,"681260","27101151","2006009100"
,,"681270","27101159","2006009900"
,,"681280","27101170","2007000000"
,,"681290","27101190","2007101010"
,,"681291","27101211","2007101090"
,,"681292","27101215","2007109110"
,,"681293","27101221","2007109190"
,,"681299","27101225","2007109910"
,,"681300","27101231","2007109990"
,,"681310","27101241","2007911000"
,,"681320","27101245","2007913000"
,,"681381","27101249","2007919000"
,,"681389","27101251","2007991000"
,,"681390","27101259","2007992000"
,,"681410","27101270","2007993100"
,,"681490","27101290","2007993300"
,,"681510","27101911","2007993500"
,,"681511","27101915","2007993900"
,,"681512","27101921","2007993901"
,,"681513","27101925","2007993909"
,,"681519","27101929","2007995001"
,,"681520","27101931","2007995002"
,,"681591","27101935","2007995003"
,,"681599","27101940","2007995004"
,,"690100","27101941","2007995005"
,,"690210","27101942","2007995007"
,,"690220","27101945","2007995008"
,,"690290","27101946","2007995009"
,,"690310","27101948","2007995100"
,,"690320","27101949","2007995500"
,,"690350","27101951","2007995700"
,,"690390","27101955","2007995800"
,,"690410","27101961","2007999100"
,,"690490","27101962","2007999300"
,,"690510","27101963","2007999701"
,,"690590","27101964","2007999702"
,,"690600","27101965","2007999708"
,,"690710","27101966","2007999709"
,,"690721","27101968","2007999800"
,,"690722","27101969","2008000000"
,,"690723","27101971","2008111000"
,,"690730","27101975","2008119100"
,,"690740","27101981","2008119200"
,,"690790","27101982","2008119400"
,,"690800","27101983","2008119600"
,,"690810","27101984","2008119800"
,,"690890","27101985","2008191100"
,,"690911","27101986","2008191200"
,,"690912","27101987","2008191300"
,,"690919","27101988","2008191900"
,,"690990","27101991","2008193000"
,,"691010","27101992","2008195100"
,,"691090","27101993","2008195900"
,,"691100","27101994","2008199100"
,,"691110","27101998","2008199101"
,,"691190","27101999","2008199109"
,,"691200","27102011","2008199201"
,,"691300","27102015","2008199209"
,,"691310","27102019","2008199300"
,,"691390","27102031","2008199500"
,,"691400","27102035","2008199900"
,,"691410","27102037","2008201100"
,,"691490","27102039","2008201900"
,,"700100","27102090","2008203100"
,,"700210","27109100","2008203900"
,,"700220","27109900","2008205100"
,,"700231","27111100","2008205900"
,,"700232","27111211","2008207100"
,,"700239","27111219","2008207900"
,,"700311","27111291","2008209000"
,,"700312","27111293","2008209100"
,,"700319","27111294","2008209900"
,,"700320","27111296","2008301100"
,,"700330","27111297","2008301900"
,,"700410","27111298","2008303100"
,,"700420","27111310","2008303900"
,,"700490","27111330","2008305100"
,,"700500","27111391","2008305500"
,,"700510","27111393","2008305900"
,,"700521","27111397","2008307100"
,,"700529","27111398","2008307500"
,,"700530","27111400","2008307900"
,,"700600","27111900","2008309000"
,,"700700","27112100","2008309001"
,,"700711","27112900","2008309009"
,,"700719","27121010","2008309100"
,,"700721","27121090","2008309900"
,,"700729","27122000","2008401100"
,,"700800","27122010","2008401900"
,,"700900","27122090","2008402100"
,,"700910","27129011","2008402900"
,,"700991","27129019","2008403100"
,,"700992","27129031","2008403900"
,,"701000","27129033","2008405100"
,,"701010","27129039","2008405900"
,,"701020","27129090","2008407100"
,,"701090","27129091","2008407900"
,,"701091","27129099","2008409000"
,,"701092","27131100","2008409100"
,,"701093","27131200","2008409900"
,,"701094","27132000","2008501100"
,,"701110","27139010","2008501900"
,,"701120","27139090","2008503100"
,,"701190","27141000","2008503900"
,,"701200","27149000","2008505100"
,,"701300","27150000","2008505900"
,,"701310","27150010","2008506100"
,,"701321","27150090","2008506900"
,,"701322","27160000","2008507100"
,,"701328","28011000","2008507900"
,,"701329","28012000","2008509200"
,,"701331","28013010","2008509400"
,,"701332","28013090","2008509800"
,,"701333","28020000","2008509900"
,,"701337","28030000","2008601100"
,,"701339","28030010","2008601900"
,,"701341","28030030","2008603100"
,,"701342","28030080","2008603900"
,,"701349","28030090","2008605000"
,,"701391","28041000","2008605001"
,,"701399","28042100","2008605009"
,,"701400","28042900","2008605100"
,,"701510","28042910","2008605900"
,,"701590","28042990","2008606000"
,,"701610","28043000","2008606001"
,,"701690","28044000","2008606009"
,,"701710","28045010","2008606100"
,,"701720","28045090","2008606900"
,,"701790","28046100","2008607000"
,,"701810","28046900","2008607100"
,,"701820","28047000","2008607900"
,,"701890","28048000","2008609000"
,,"701910","28049000","2008609100"
,,"701911","28051100","2008609900"
,,"701912","28051200","2008701100"
,,"701913","28051900","2008701900"
,,"701914","28051910","2008703100"
,,"701915","28051990","2008703900"
,,"701919","28052100","2008705100"
,,"701920","28052200","2008705900"
,,"701931","28053010","2008706100"
,,"701932","28053020","2008706900"
,,"701939","28053030","2008707100"
,,"701940","28053040","2008707900"
,,"701951","28053080","2008709200"
,,"701952","28053090","2008709400"
,,"701959","28054010","2008709800"
,,"701961","28054090","2008709801"
,,"701962","28061000","2008709809"
,,"701963","28062000","2008709900"
,,"701964","28070000","2008801100"
,,"701965","28070010","2008801900"
,,"701966","28070090","2008803100"
,,"701969","28080000","2008803900"
,,"701971","28091000","2008805000"
,,"701972","28092000","2008807000"
,,"701973","28100000","2008809000"
,,"701980","28100010","2008809100"
,,"701990","28100090","2008809900"
,,"702000","28111100","2008910000"
,,"710110","28111200","2008921200"
,,"710121","28111910","2008921400"
,,"710122","28111920","2008921600"
,,"710210","28111980","2008921800"
,,"710221","28111990","2008923200"
,,"710229","28112100","2008923400"
,,"710231","28112200","2008923600"
,,"710239","28112300","2008923800"
,,"710310","28112905","2008925100"
,,"710391","28112910","2008925900"
,,"710399","28112930","2008927200"
,,"710410","28112990","2008927400"
,,"710420","28121011","2008927600"
,,"710421","28121015","2008927800"
,,"710429","28121016","2008929200"
,,"710490","28121018","2008929300"
,,"710491","28121019","2008929400"
,,"710499","28121090","2008929600"
,,"710510","28121091","2008929700"
,,"710590","28121093","2008929800"
,,"710610","28121094","2008931100"
,,"710691","28121095","2008931900"
,,"710692","28121099","2008932100"
,,"710700","28121100","2008932900"
,,"710811","28121200","2008939100"
,,"710812","28121300","2008939300"
,,"710813","28121400","2008939900"
,,"710820","28121500","2008970300"
,,"710900","28121600","2008970500"
,,"711011","28121700","2008971200"
,,"711019","28121900","2008971400"
,,"711021","28129000","2008971600"
,,"711029","28131000","2008971800"
,,"711031","28139010","2008973200"
,,"711039","28139090","2008973400"
,,"711041","28141000","2008973600"
,,"711049","28142000","2008973800"
,,"711100","28151100","2008975100"
,,"711210","28151200","2008975900"
,,"711220","28152000","2008977200"
,,"711230","28152010","2008977400"
,,"711290","28152090","2008977600"
,,"711291","28153000","2008977800"
,,"711292","28161000","2008979200"
,,"711299","28162000","2008979300"
,,"711311","28163000","2008979400"
,,"711319","28164000","2008979600"
,,"711320","28170000","2008979700"
,,"711411","28181000","2008979800"
,,"711419","28181010","2008991100"
,,"711420","28181011","2008991900"
,,"711510","28181019","2008992100"
,,"711590","28181090","2008992300"
,,"711610","28181091","2008992400"
,,"711620","28181099","2008992500"
,,"711711","28182000","2008992600"
,,"711719","28183000","2008992800"
,,"711790","28191000","2008993100"
,,"711810","28199000","2008993200"
,,"711890","28199010","2008993300"
,,"720100","28199090","2008993400"
,,"720110","28201000","2008993600"
,,"720120","28209000","2008993700"
,,"720130","28209010","2008993800"
,,"720150","28209090","2008994000"
,,"720211","28211000","2008994100"
,,"720219","28212000","2008994300"
,,"720221","28220000","2008994500"
,,"720229","28230000","2008994600"
,,"720230","28241000","2008994700"
,,"720241","28242000","2008994800"
,,"720249","28249000","2008994900"
,,"720250","28249010","2008994901"
,,"720260","28249090","2008994909"
,,"720270","28251000","2008995100"
,,"720280","28252000","2008995300"
,,"720291","28253000","2008995500"
,,"720292","28254000","2008996100"
,,"720293","28255000","2008996200"
,,"720299","28256000","2008996300"
,,"720310","28257000","2008996701"
,,"720390","28258000","2008996702"
,,"720410","28259010","2008996708"
,,"720421","28259011","2008996709"
,,"720429","28259019","2008996800"
,,"720430","28259020","2008997200"
,,"720441","28259030","2008997400"
,,"720449","28259040","2008997800"
,,"720450","28259050","2008997900"
,,"720510","28259060","2008998500"
,,"720521","28259080","2008999100"
,,"720529","28259085","2008999800"
,,"720610","28261100","2008999900"
,,"720690","28261200","2009000000"
,,"720711","28261900","2009111100"
,,"720712","28261910","2009111901"
,,"720719","28261990","2009111902"
,,"720720","28262000","2009111903"
,,"720800","28263000","2009111908"
,,"720810","28269010","2009111909"
,,"720812","28269080","2009119100"
,,"720813","28269090","2009119900"
,,"720814","28271000","2009119901"
,,"720821","28272000","2009119903"
,,"720822","28273100","2009119908"
,,"720823","28273200","2009119909"
,,"720824","28273300","2009120000"
,,"720825","28273400","2009120001"
,,"720826","28273500","2009120002"
,,"720827","28273600","2009120008"
,,"720832","28273800","2009120009"
,,"720833","28273910","2009191100"
,,"720834","28273920","2009191901"
,,"720835","28273930","2009191902"
,,"720836","28273980","2009191903"
,,"720837","28273985","2009191908"
,,"720838","28273990","2009191909"
,,"720839","28274100","2009199100"
,,"720840","28274910","2009199801"
,,"720842","28274990","2009199809"
,,"720843","28275100","2009199901"
,,"720844","28275900","2009199909"
,,"720845","28276000","2009201100"
,,"720851","28281000","2009201901"
,,"720852","28289000","2009201909"
,,"720853","28291100","2009209100"
,,"720854","28291900","2009209900"
,,"720890","28299010","2009209901"
,,"720900","28299040","2009209909"
,,"720912","28299050","2009210000"
,,"720913","28299060","2009210001"
,,"720914","28299080","2009210009"
,,"720915","28301000","2009291100"
,,"720916","28302000","2009291901"
,,"720917","28303000","2009291902"
,,"720918","28309011","2009291903"
,,"720922","28309019","2009291908"
,,"720923","28309080","2009291909"
,,"720924","28309085","2009299100"
,,"720925","28309090","2009299901"
,,"720926","28311000","2009299909"
,,"720927","28319000","2009301100"
,,"720928","28321000","2009301901"
,,"720932","28322000","2009301909"
,,"720933","28323000","2009303101"
,,"720934","28331100","2009303109"
,,"720942","28331900","2009303901"
,,"720943","28332100","2009303909"
,,"720944","28332200","2009305100"
,,"720990","28332300","2009305500"
,,"721011","28332400","2009305900"
,,"721012","28332500","2009309100"
,,"721020","28332600","2009309500"
,,"721030","28332700","2009309900"
,,"721031","28332910","2009311100"
,,"721039","28332920","2009311900"
,,"721041","28332930","2009315100"
,,"721049","28332950","2009315101"
,,"721050","28332960","2009315109"
,,"721060","28332970","2009315900"
,,"721061","28332980","2009315901"
,,"721069","28332990","2009315909"
,,"721070","28333000","2009319100"
,,"721090","28333010","2009319101"
,,"721112","28333090","2009319109"
,,"721113","28334000","2009319900"
,,"721114","28341000","2009319901"
,,"721119","28342100","2009319909"
,,"721122","28342200","2009391100"
,,"721123","28342910","2009391901"
,,"721129","28342920","2009391902"
,,"721130","28342930","2009391903"
,,"721141","28342940","2009391908"
,,"721149","28342950","2009391909"
,,"721190","28342980","2009393101"
,,"721210","28342990","2009393109"
,,"721220","28351000","2009393901"
,,"721221","28352200","2009393909"
,,"721229","28352300","2009395100"
,,"721230","28352400","2009395500"
,,"721240","28352500","2009395900"
,,"721250","28352510","2009399100"
,,"721260","28352590","2009399500"
,,"721300","28352600","2009399900"
,,"721310","28352610","2009401100"
,,"721320","28352690","2009401901"
,,"721350","28352910","2009401909"
,,"721391","28352930","2009403000"
,,"721399","28352980","2009409100"
,,"721400","28352990","2009409300"
,,"721410","28353100","2009409901"
,,"721420","28353900","2009409909"
,,"721430","28353910","2009411000"
,,"721440","28353930","2009411001"
,,"721450","28353970","2009411009"
,,"721491","28361000","2009419100"
,,"721499","28362000","2009419201"
,,"721510","28363000","2009419209"
,,"721520","28364000","2009419900"
,,"721550","28365000","2009491100"
,,"721590","28366000","2009491901"
,,"721610","28367000","2009491902"
,,"721621","28369100","2009491903"
,,"721622","28369200","2009491908"
,,"721631","28369911","2009491909"
,,"721632","28369917","2009493000"
,,"721633","28369918","2009499100"
,,"721640","28369990","2009499300"
,,"721650","28371100","2009499901"
,,"721660","28371900","2009499909"
,,"721661","28372000","2009501000"
,,"721669","28380000","2009501001"
,,"721690","28391100","2009501009"
,,"721691","28391900","2009509001"
,,"721699","28392000","2009509002"
,,"721700","28399000","2009509003"
,,"721710","28399010","2009509008"
,,"721711","28399090","2009509009"
,,"721712","28401100","2009601100"
,,"721713","28401900","2009601900"
,,"721719","28401910","2009605101"
,,"721720","28401990","2009605109"
,,"721730","28402010","2009605900"
,,"721790","28402090","2009607100"
,,"721800","28403000","2009607900"
,,"721810","28411000","2009609000"
,,"721890","28412000","2009611001"
,,"721891","28413000","2009611002"
,,"721899","28414000","2009611003"
,,"721911","28415000","2009611004"
,,"721912","28416100","2009611007"
,,"721913","28416900","2009611008"
,,"721914","28417000","2009611009"
,,"721921","28418000","2009619000"
,,"721922","28419010","2009691100"
,,"721923","28419030","2009691900"
,,"721924","28419085","2009695101"
,,"721931","28419090","2009695109"
,,"721932","28421000","2009695900"
,,"721933","28429010","2009697100"
,,"721934","28429080","2009697900"
,,"721935","28429090","2009699000"
,,"721990","28431010","2009701100"
,,"722011","28431090","2009701901"
,,"722012","28432100","2009701909"
,,"722020","28432900","2009703001"
,,"722090","28433000","2009703009"
,,"722100","28439010","2009709100"
,,"722210","28439090","2009709300"
,,"722211","28441010","2009709901"
,,"722219","28441030","2009709909"
,,"722220","28441031","2009711000"
,,"722230","28441039","2009711001"
,,"722240","28441050","2009711009"
,,"722300","28441090","2009712001"
,,"722410","28442021","2009712002"
,,"722490","28442025","2009712008"
,,"722500","28442029","2009712009"
,,"722510","28442031","2009719100"
,,"722511","28442035","2009719900"
,,"722519","28442039","2009719901"
,,"722520","28442051","2009719909"
,,"722530","28442059","2009791100"
,,"722540","28442081","2009791901"
,,"722550","28442089","2009791902"
,,"722590","28442099","2009791903"
,,"722591","28443011","2009791908"
,,"722592","28443019","2009791909"
,,"722599","28443051","2009793001"
,,"722610","28443055","2009793009"
,,"722611","28443061","2009799100"
,,"722619","28443069","2009799300"
,,"722620","28443091","2009799801"
,,"722691","28443099","2009799802"
,,"722692","28444010","2009799809"
,,"722693","28444011","2009799901"
,,"722694","28444019","2009799909"
,,"722699","28444020","2009800000"
,,"722710","28444030","2009801100"
,,"722720","28444040","2009801901"
,,"722790","28444080","2009801909"
,,"722800","28444090","2009803200"
,,"722810","28444100","2009803300"
,,"722820","28444200","2009803400"
,,"722830","28444300","2009803500"
,,"722840","28444400","2009803601"
,,"722850","28445000","2009803609"
,,"722860","28451000","2009803801"
,,"722870","28452000","2009803809"
,,"722880","28453000","2009805000"
,,"722910","28454000","2009806100"
,,"722920","28459010","2009806300"
,,"722990","28459080","2009806900"
,,"730110","28459090","2009807101"
,,"730120","28461000","2009807109"
,,"730210","28469000","2009807301"
,,"730220","28469010","2009807309"
,,"730230","28469020","2009807901"
,,"730240","28469030","2009807909"
,,"730290","28469090","2009808300"
